ts_code,name,management,custodian,fund_type,found_date,benchmark
501016.SH,券商基金LOF,国泰基金,中国建设银行,股票型,20170427,中证申万证券行业指数收益率*95%+银行活期存款利率(税后)*5%
004266.OF,招商沪港深科技创新A,招商基金,中国银行,混合型,20170426,沪深300指数收益率*40%+中债综合指数收益率*40%+恒生综合指数收益率*20%
004361.OF,上投摩根安通回报A,上投摩根基金,交通银行,混合型,20170426,中证综合债券指数收益率*85%+沪深300指数收益率*15%
167003.SZ,鼎弘LOF,平安基金,中国工商银行,混合型,20170426,中证综合债指数收益率*80%+沪深300指数收益率*20%
004362.OF,上投摩根安通回报C,上投摩根基金,交通银行,混合型,20170426,中证综合债券指数收益率*85%+沪深300指数收益率*15%
004499.OF,鹏华丰瑞,鹏华基金,招商银行,债券型,20170425,中债总指数收益率
004254.OF,民生加银汇鑫一年A,民生加银基金,中国建设银行,债券型,20170425,同期一年银行定期存款利率(税后)+4%
004255.OF,民生加银汇鑫一年C,民生加银基金,中国建设银行,债券型,20170425,同期一年银行定期存款利率(税后)+4%
159952.SZ,创业板ETF广发,广发基金,中国工商银行,股票型,20170425,创业板指数收益率
004256.OF,民生加银汇鑫一年D,民生加银基金,中国建设银行,债券型,20170425,同期一年银行定期存款利率(税后)+4%
003745.OF,广发多元新兴,广发基金,中国建设银行,股票型,20170425,沪深300指数收益率*80%+中证全债指数收益率*20%
003792.OF,民生加银现金宝C,民生加银基金,中国建设银行,货币市场型,20170424,七天通知存款利率(税后)
004493.OF,华泰保兴货币A,华泰保兴基金,中国银行,货币市场型,20170420,七天通知存款利率(税后)
004568.OF,长城工资宝B,长城基金,中信银行,货币市场型,20170420,银行活期存款利率(税后)
004494.OF,华泰保兴货币B,华泰保兴基金,中国银行,货币市场型,20170420,七天通知存款利率(税后)
004545.OF,永赢天天利A,永赢基金,兴业银行,货币市场型,20170420,同期7天通知存款利率(税后)
004419.OF,汇添富精选美元债A人民币,汇添富基金,中国银行,债券型,20170420,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率*95%+商业银行活期存款基准利率(税后)*5%
004420.OF,汇添富精选美元债C人民币,汇添富基金,中国银行,债券型,20170420,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率*95%+商业银行活期存款基准利率(税后)*5%
004422.OF,汇添富精选美元债C美元现汇,汇添富基金,中国银行,债券型,20170420,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率*95%+商业银行活期存款基准利率(税后)*5%
004421.OF,汇添富精选美元债A美元现汇,汇添富基金,中国银行,债券型,20170420,iBoxx美元债总回报指数(iBoxx USD Overall Total Return Index)收益率*95%+商业银行活期存款基准利率(税后)*5%
501301.SH,香港大盘LOF,华宝基金,招商证券,股票型,20170420,经人民币汇率调整的恒生中国(香港上市)25指数收益率*95%+人民币银行活期存款利率(税后)*5%
